order_id,item_index,invoice_number,invoice_date,order_date,seller_name,seller_tax_id,buyer_name,buyer_tax_id,item_description,item_asin,item_qty,item_unit_price_net,item_vat_rate,item_vat_amount,item_total_gross,subtotal_net,shipping_net,total_vat,total_gross,is_official_invoice,document_type,source_file
408-2034911-0150754,1,ES600037KPAIXI,2026-02-02,2026-01-30,DISTRIBUCIONES ECOLEVANTE SL,ESB09700808,LAYERONE SLU,ESB67716035,Aceite Camins del Verdor Umami 1 x 500 ml Nueva Cosecha 2025/2026 | Aceite de Oliva Virgen Extra variedad Arbequina | AOVE Sabor Intenso | Mejor Selección ENOVINOS,B0CJ9KN23F,2,21.11,4,1.68,43.9,42.22,0.0,1.68,43.9,True,invoice,20260202_Tax Invoice_408-2034911-0150754.pdf
408-4035406-9512369,1,,2026-02-02,2026-01-31,Multiple sellers,,LAYERONE SLU,ESB67716035,"Chicco, Pijama Niña Manga Larga en Tejido Cálido y Suave, Ropa para Niña, Designed in Italy",B0DNFL4VSV,1,20.37,21,4.28,24.65,43.51,0.0,9.14,52.65,True,invoice,20260202_Tax Invoice_408-4035406-9512369.pdf
408-4035406-9512369,2,,2026-02-02,2026-01-31,Multiple sellers,,LAYERONE SLU,ESB67716035,"Cámara Fotos Infantil Unicornio Rosa para Niña 3 4 5 6 7 8 9 10 Años, 1080P con 32GB y Trípode, Juguetes Regalo Niña Cumpleaños Navidad, Selfie MP3 Juegos Educativos",B0FHG787LR,1,23.14,21,4.86,28.0,43.51,0.0,9.14,52.65,True,invoice,20260202_Tax Invoice_408-4035406-9512369.pdf
408-1790768-7826728,1,ES6D74EAEUI,2026-02-02,2026-01-31,"Amazon EU S.à r.l., Sucursal en España",ESW0184081H,LAYERONE SLU,ESB67716035,"Chicco, Pijama de Manga Corta Niña y Niño en Algodón Suave, Ideal para Primavera y Otoño, Designed in Italy, Ropa Bebé",B0D4DQ7J4P,1,11.66,21,2.45,14.11,11.66,0.0,2.45,14.11,True,invoice,20260202_Tax Invoice_408-1790768-7826728.pdf
408-9767896-3189946,1,PL600007OE0O7I,2026-02-01,2026-01-31,Zhejiang Lewo Wanju Youxiangongsi,PL5263648014,LAYERONE SLU,ESB67716035,Tacobear Unicornio Peluche Osito Peluche Unicornio Mamá con 4 Bebés Juguete Peluche Regalo para Navidad Cumpleaños para Niñas 3 4 5 6 7 Años,B0BDF1MG2F,1,28.56,0,0.0,28.56,28.56,0.0,0.0,28.56,True,invoice,20260201_Tax Invoice_408-9767896-3189946.pdf
408-1982081-3840309,1,ES600042JRM8DI,2026-01-31,2026-01-31,oliva oliva internet sl,ESB86367505,LAYERONE SLU,ESB67716035,Elizondo - Aceite de oliva virgen extra - Estuche Luxury Flavours 3 x 200 ml,B0953Z67ZW,3,29.82,10,8.94,98.4,89.46,0.0,8.94,98.4,True,invoice,20260131_Tax Invoice_408-1982081-3840309.pdf
408-0823117-9292325,1,ES600040JRM8DI,2026-01-31,2026-01-30,oliva oliva internet sl,ESB86367505,LAYERONE SLU,ESB67716035,ELIZONDO Nº3 | Aceite de Oliva Virgen Extra Variedad Picual 500 Ml,B0DPXP2L44,3,25.72,10,7.71,84.87,122.71,0.0,12.27,134.98,True,invoice,20260131_Tax Invoice_408-0823117-9292325.pdf
408-0823117-9292325,2,ES600040JRM8DI,2026-01-31,2026-01-30,oliva oliva internet sl,ESB86367505,LAYERONE SLU,ESB67716035,"ELIZONDO | (1L, Emerald)",B0DQ1C7F9T,1,45.55,10,4.56,50.11,122.71,0.0,12.27,134.98,True,invoice,20260131_Tax Invoice_408-0823117-9292325.pdf
408-2795631-3843552,1,ES6CQGOAEUI,2026-01-31,2026-01-31,"Amazon EU S.à r.l., Sucursal en España",ESW0184081H,LAYERONE SLU,ESB67716035,"Salus - Floradix Suplemento de Hierro - Reduce el Cansancio y la Fatiga, con Hierro Orgánico, Ácido Fólico y Vitaminas B1, B2, B5, B12 y C - 84 Comprimidos",B0013G8I0O,2,12.72,10,2.54,27.98,25.44,0.0,2.54,27.98,True,invoice,20260131_Tax Invoice_408-2795631-3843552.pdf
408-8468174-4905959,1,ES60002S0E8FFI,2026-01-30,2026-01-30,Cosmety LLC,ESN0259422D,LAYERONE SLU,ESB67716035,PLANTIFIQUE Mentonera Papada Reutilizable - Máscara Correa Transpirable - Mascarilla Facial V-Line Lifting Face Mask Chin Strap,B0FGDSFT8P,1,14.01,0,0.0,14.01,24.47,0.0,0.0,24.47,True,invoice,20260130_Tax Invoice_408-8468174-4905959.pdf
408-8468174-4905959,2,ES60002S0E8FFI,2026-01-30,2026-01-30,Cosmety LLC,ESN0259422D,LAYERONE SLU,ESB67716035,PLANTIFIQUE Mentonera Papada Reutilizable - Máscara Correa Transpirable - Mascarilla Facial V-Line Lifting Face Mask Chin Strap,B0DRCQXGND,1,13.18,0,0.0,13.18,24.47,0.0,0.0,24.47,True,invoice,20260130_Tax Invoice_408-8468174-4905959.pdf
408-0233072-3705977,1,ES60000647TM3I,2026-01-30,2026-01-30,shenzhenshi lujia maoyi youxian gongsi,ESN0079029E,LAYERONE SLU,ESB67716035,"Aikmi Robot Juguetes Niños, Robot Niños Recargable con Proyector Estrellas Infantil, Sensor de Gestos, Música",B0D2NYDSFP,1,26.76,0,0.0,26.76,53.19,0.0,0.0,53.19,True,invoice,20260130_Tax Invoice_408-0233072-3705977.pdf
408-0233072-3705977,2,ES60000647TM3I,2026-01-30,2026-01-30,shenzhenshi lujia maoyi youxian gongsi,ESN0079029E,LAYERONE SLU,ESB67716035,Aikmi Robot Juguetes para Niños 5-7 Años Recargable con Mando a Distancia y Proyector Luz Nocturna con Sensor de Gestos y Música,B0D2P1LFHF,1,26.43,0,0.0,26.43,53.19,0.0,0.0,53.19,True,invoice,20260130_Tax Invoice_408-0233072-3705977.pdf
171-9073149-5277131,1,IT60004IS22QLI,2026-01-25,2026-01-25,EATO GmbH,IT00396649998,LAYERONE SLU,ESB67716035,"ReliBeauty Disfraz Hawaiana niña Falda Hawaiana niña con Complementos Hawaianos,120",B0CHVXLGJX,1,24.79,0,0.0,24.79,24.79,0.0,0.0,24.79,True,invoice,20260125_Tax Invoice_171-9073149-5277131.pdf
