order_id,date,total
D01-0897293-4565411,05/02/2026,59,29
408-8114768-3286728,30/01/2026,46,04
408-3878417-4521962,22/01/2026,11,13
408-0789137-1531554,19/01/2026,67,98
408-5410940-2961109,18/01/2026,28,78
403-3281763-6151556,09/01/2026,18,99
403-3614314-6059526,09/01/2026,23,99
408-4112029-2548361,07/01/2026,104,99
171-9246890-3167516,04/01/2026,89,99
408-7004114-7092315,28/12/2025,109,99
408-7497029-0282712,28/12/2025,114,99
171-6502613-1151534,27/12/2025,224,98
408-3221965-3482742,26/12/2025,15,00
408-3338138-8693147,12/12/2025,476,94
171-5562352-1301935,09/12/2025,214,42
171-0249770-7544378,08/12/2025,47,33
171-0410332-4779549,05/12/2025,66,98
171-6941392-7487521,05/12/2025,48,98
171-4766908-2421118,27/11/2025,35,90
408-7380457-1534723,19/11/2025,104,82
408-8026116-6065141,17/11/2025,104,99
171-2838336-1745930,13/11/2025,59,96
171-6635295-2141160,09/11/2025,214,98
408-3829664-3520356,08/11/2025,214,98
408-6330465-4139512,08/11/2025,180,00
408-1094556-8809917,06/11/2025,22,98
408-6334565-5438710,06/11/2025,109,99
171-5855392-1010769,28/09/2025,9,99
407-5422631-8699540,22/09/2025,26,79
171-5977027-7180332,19/09/2025,31,99
171-8042141-3881145,14/09/2025,92,99
171-1342882-4535548,09/09/2025,31,98
407-2726259-2962709,08/09/2025,100,95
407-8197972-8846743,05/09/2025,255,56
407-6424469-2653121,04/09/2025,402,04
407-8610400-3293157,02/09/2025,48,00
407-8101422-8418724,01/09/2025,14,98
171-2796440-1489912,29/08/2025,98,36
171-1835120-1289953,26/08/2025,92,54
407-3150376-3612312,26/08/2025,9,99
171-8643837-1801101,13/08/2025,57,78
171-8049329-9695519,11/08/2025,41,98
407-0997549-3117110,10/08/2025,159,72
171-0879281-1025166,09/08/2025,45,98
407-7421725-2589909,28/07/2025,86,58
407-6156558-4263509,24/07/2025,101,49
171-0105553-8733125,22/07/2025,55,51
171-1037189-5397907,20/07/2025,15,99
407-8820744-0933145,09/07/2025,33,99
407-9356194-6946761,07/07/2025,158,97
406-4747895-8699520,17/06/2025,65,98
171-8316738-0701950,15/06/2025,158,97
171-2355212-4389942,11/06/2025,37,89
406-2873410-0037924,06/06/2025,34,99
406-8804573-5207533,06/06/2025,251,44
171-2515931-5450724,03/06/2025,67,96
406-8901255-5963529,03/06/2025,135,87
406-0851451-3803545,27/05/2025,29,40
171-5111574-6298747,27/05/2025,80,76
406-4269847-8929960,26/05/2025,105,98
406-6730823-2006752,26/05/2025,57,62
406-4250304-0205919,20/05/2025,74,98
406-5129812-3724324,19/05/2025,214,52
407-7505600-6312334,13/05/2025,18,99
171-1028213-9751529,07/05/2025,10,99
408-5694938-0315539,29/04/2025,78,70
171-2285071-8378762,25/04/2025,22,78
171-9142547-8114734,25/04/2025,33,98
406-1810393-4535531,23/04/2025,84,95
406-5658091-8917965,19/04/2025,22,94
406-0995731-5264337,08/04/2025,37,87
406-4857220-6673933,07/04/2025,41,63
406-0818932-3145929,03/04/2025,85,80
406-6363807-3713107,01/04/2025,283,99
406-7802934-1357969,01/04/2025,61,40
171-7971574-8292306,19/03/2025,515,36
171-5316885-1898726,12/03/2025,25,29
171-8296461-8062708,01/03/2025,109,99
171-7709528-5858711,25/02/2025,109,99
171-2779437-5376350,25/02/2025,429,96
171-8102961-3081928,25/02/2025,41,93
171-5502658-4306740,24/02/2025,21,77
171-1328885-3169161,15/02/2025,104,99
171-5804825-4199524,10/02/2025,35,77
171-8540995-8290727,10/02/2025,31,46
171-6565227-7501112,07/02/2025,31,60
171-9203990-9062747,04/02/2025,21,00
171-2980684-2841941,03/02/2025,109,99
171-7942575-9813111,29/01/2025,109,99
171-7886019-4266733,23/01/2025,324,97
171-5202858-5287527,20/01/2025,120,99
171-8774264-2768347,18/01/2025,40,92
171-5299495-4709125,14/01/2025,14,99
171-0805430-6613959,13/01/2025,111,98
171-3708288-3225133,10/01/2025,255,99
171-3997405-3741148,09/01/2025,209,99
171-2148445-2301118,08/01/2025,439,96
402-0448489-4030762,02/01/2025,384,96
402-0005962-9310769,26/12/2024,109,99
402-9327852-9949106,21/12/2024,370,98
171-9056521-5881142,20/12/2024,16,95
408-2748973-0869958,17/12/2024,38,46
402-6814875-8797953,11/12/2024,178,82
402-3761308-5909960,09/12/2024,29,99
171-6771927-4021965,09/12/2024,40,46
402-5752109-8895528,07/12/2024,112,40
171-7905520-8147545,03/12/2024,38,36
402-9110778-1255548,03/12/2024,56,98
402-1512268-2151551,03/12/2024,49,75
402-0752286-3718730,24/11/2024,168,43
408-0441719-0918748,23/11/2024,2063,99
171-8516455-4985942,18/11/2024,12,98
402-5599316-3340315,13/11/2024,20,30
402-7936341-1757102,08/11/2024,177,00
402-3310206-0801133,20/10/2024,255,63
407-6601227-0607525,20/10/2024,176,16
171-9390559-2993112,05/08/2024,77,99
171-2155016-9593947,24/06/2024,43,98
403-6223145-0270715,18/05/2024,47,90
405-6724559-1619559,14/05/2024,147,34
171-2466700-7233163,11/05/2024,25,76
405-4489999-7213910,03/05/2024,19,54
405-9685508-4570715,02/05/2024,93,98
405-1618353-6785932,24/04/2024,29,89
405-4414671-6601125,17/04/2024,52,43
171-9765925-7484304,15/04/2024,47,18
407-3479178-6029148,13/04/2024,27,90
405-8839047-5233942,29/03/2024,85,52
405-5126242-4015517,15/03/2024,23,89
405-6342607-5544360,13/03/2024,31,98
405-5947714-5125965,13/03/2024,210,28
405-8101010-7895561,12/03/2024,16,99
405-1294553-8958747,05/03/2024,30,09
171-0771539-4591537,17/02/2024,28,88
171-9703613-7185133,14/02/2024,137,78
171-0386421-6030750,12/02/2024,15,79
171-4790243-4417100,11/02/2024,34,96
407-2339763-3751504,11/02/2024,399,50
171-0896265-6669911,05/02/2024,137,78
171-3162531-4692345,04/02/2024,29,94
171-1372341-4127556,29/01/2024,25,98
171-2416129-4473122,10/11/2023,16,99
171-2001482-0033922,31/10/2023,188,00
408-5889091-5196335,23/10/2023,178,40
408-4699566-7049949,28/09/2023,25,76
408-8862163-9153917,14/09/2023,35,97
408-4249019-7648338,12/09/2023,16,99
408-8680143-3258707,04/09/2023,431,85
408-8874285-3730732,31/08/2023,26,99
408-0556481-0396305,31/08/2023,41,63
408-2105866-6746731,28/08/2023,12,40
408-3374091-8283522,28/08/2023,313,01
408-8172733-0166759,13/08/2023,39,90
408-9119539-0658768,03/08/2023,94,37
408-7668733-3674718,21/07/2023,34,82
408-3505314-9812347,12/07/2023,10,99
408-2239818-4575553,11/07/2023,17,99
408-9337751-2398746,07/07/2023,64,93
408-7976379-1161905,07/07/2023,14,90
408-1074635-4180342,06/07/2023,21,99
408-7163235-7941130,06/07/2023,25,62
408-9851806-1188367,06/07/2023,40,60
408-0492344-1109132,06/07/2023,22,99
408-4699877-4229937,05/07/2023,20,99
408-7982560-4981957,03/07/2023,31,98
408-2121652-2670716,03/07/2023,13,99
402-4544637-7249138,15/06/2023,183,96
408-4825613-2248356,14/06/2023,250,79
408-8278049-6858726,01/05/2023,23,98
408-6904262-3829138,27/04/2023,63,96
408-6949098-3202755,24/04/2023,30,98
408-0775109-1835500,24/04/2023,22,99
408-5117634-7064333,24/04/2023,8,22
171-2360588-2653958,22/04/2023,26,90
408-1157560-7813167,21/04/2023,204,90
