order_id,date,vendor,item_num,item_name,item_asin,item_qty,item_unit_price,item_vat_rate,item_vat_amount,item_total,item_category,order_subtotal,order_tax,order_total,has_pdf,pdf_file
D01-0897293-4565411,2026-02-05,Amazon EU,1,Business Prime Annual Membership Fee - Basic,B08284T55Z,1,49,0,10.29,59.29,Otros,49,10.29,59.29,no,
408-2795631-3843552,2026-01-31,Amazon EU,1,"Salus - Floradix Suplemento de Hierro - Reduce el Cansancio y la Fatiga, con Hierro Orgánico, Ácido ",B0013G8I0O,2,12.72,10,2.54,27.98,Plantas,25.44,2.54,27.98,yes,pdfs/20260131_Tax Invoice_408-2795631-3843552.pdf
408-9767896-3189946,2026-01-31,Zhejiang Lewo Wanju Youxiangongsi,1,Tacobear Unicornio Peluche Osito Peluche Unicornio Mamá con 4 Bebés Juguete Peluche Regalo para Navi,B0BDF1MG2F,1,28.56,0,0,28.56,Alimentación,28.56,0,28.56,yes,pdfs/20260201_Tax Invoice_408-9767896-3189946.pdf
408-1790768-7826728,2026-01-31,Amazon EU,1,"Chicco, Pijama de Manga Corta Niña y Niño en Algodón Suave, Ideal para Primavera y Otoño, Designed i",B0D4DQ7J4P,1,11.66,21,2.45,14.11,Ropa/Calzado,11.66,2.45,14.11,yes,pdfs/20260202_Tax Invoice_408-1790768-7826728.pdf
408-4035406-9512369,2026-01-31,Soledad Bueno Casado,1,"Chicco, Pijama Niña Manga Larga en Tejido Cálido y Suave, Ropa para Niña, Designed in Italy",B0DNFL4VSV,1,20.37,21,4.28,24.65,Ropa/Calzado,43.51,9.14,52.65,yes,pdfs/20260202_Tax Invoice_408-4035406-9512369.pdf
408-4035406-9512369,2026-01-31,Soledad Bueno Casado,2,"Cámara Fotos Infantil Unicornio Rosa para Niña 3 4 5 6 7 8 9 10 Años, 2"" 1080P con 32GB y Trípode, J",B0FHG787LR,1,23.14,21,4.86,28,Bebés,43.51,9.14,52.65,yes,pdfs/20260202_Tax Invoice_408-4035406-9512369.pdf
408-1982081-3840309,2026-01-31,oliva oliva internet sl,1,Elizondo - Aceite de oliva virgen extra - Estuche Luxury Flavours 3 x 200 ml,B0953Z67ZW,3,29.82,10,8.94,98.4,Alimentación,89.46,8.94,98.4,yes,pdfs/20260131_Tax Invoice_408-1982081-3840309.pdf
408-0823117-9292325,2026-01-30,oliva oliva internet sl,1,"ELIZONDO | (1L, Emerald)",B0DQ1C7F9T,1,45.55,10,4.56,50.11,Otros,122.71,12.27,134.98,yes,pdfs/20260131_Tax Invoice_408-0823117-9292325.pdf
408-0823117-9292325,2026-01-30,oliva oliva internet sl,2,ELIZONDO Nº3 | Aceite de Oliva Virgen Extra Variedad Picual 500 Ml,B0DPXP2L44,3,25.72,10,7.71,84.87,Alimentación,122.71,12.27,134.98,yes,pdfs/20260131_Tax Invoice_408-0823117-9292325.pdf
408-2034911-0150754,2026-01-30,DISTRIBUCIONES ECOLEVANTE SL,1,Aceite Camins del Verdor Umami 1 x 500 ml Nueva Cosecha 2025/2026 | Aceite de Oliva Virgen Extra var,B0CJ9KN23F,2,21.11,4,1.68,43.9,Alimentación,42.22,1.68,43.9,yes,pdfs/20260202_Tax Invoice_408-2034911-0150754.pdf
408-0233072-3705977,2026-01-30,shenzhenshi lujia maoyi youxian gongsi,1,Aikmi Robot Juguetes para Niños 5-7 Años Recargable con Mando a Distancia y Proyector Luz Nocturna c,B0D2P1LFHF,1,26.43,0,0,26.43,Hogar,53.19,0,53.19,yes,pdfs/20260130_Tax Invoice_408-0233072-3705977.pdf
408-0233072-3705977,2026-01-30,shenzhenshi lujia maoyi youxian gongsi,2,"Aikmi Robot Juguetes Niños, Robot Niños Recargable con Proyector Estrellas Infantil, Sensor de Gesto",B0D2NYDSFP,1,26.76,0,0,26.76,Bebés,53.19,0,53.19,yes,pdfs/20260130_Tax Invoice_408-0233072-3705977.pdf
408-8114768-3286728,2026-01-30,QuanzhoutaishangtouziquYIKEHAOdianzishangwuyouxian,1,STQ KIDS Barefoot Niños Zapatillas Deportivas Niña Primeros Pasos Non-Slip Descalzo con Caída Cero a,B0F2H6RC8Z,1,20.05,0,0,20.05,Ropa/Calzado,46.04,0,46.04,no,
408-8114768-3286728,2026-01-30,QuanzhoutaishangtouziquYIKEHAOdianzishangwuyouxian,2,STQ KIDS Barefoot Deportivas Niño Zapatillas Calzado Respetuoso Bebe Descalzo con Caída Cero Primero,B0F2H876FV,1,25.99,0,0,25.99,Ropa/Calzado,46.04,0,46.04,no,
408-8468174-4905959,2026-01-30,Cosmety LLC,1,PLANTIFIQUE Mentonera Papada Reutilizable - Máscara Correa Transpirable - Mascarilla Facial V-Line L,B0DRCQXGND,1,13.18,0,0,11.86,Mascotas,27.19,0,24.47,yes,pdfs/20260130_Tax Invoice_408-8468174-4905959.pdf
408-8468174-4905959,2026-01-30,Cosmety LLC,2,PLANTIFIQUE Mentonera Papada Reutilizable - Máscara Correa Transpirable - Mascarilla Facial V-Line L,B0FGDSFT8P,1,14.01,0,0,12.61,Mascotas,27.19,0,24.47,yes,pdfs/20260130_Tax Invoice_408-8468174-4905959.pdf
171-7380575-6325937,2026-01-26,Amazon EU,1,Arcos Set Cuchillos Mondadores. 3 Piezas Acero Inoxidable. Cuchillos Cocina Peladores Multicolor par,B0812BKN39,2,6.36,21,2.66,15.38,Hogar,12.72,2.66,15.38,yes,pdfs/20260127_Tax Invoice_171-7380575-6325937.pdf
405-2236617-2133903,2026-01-25,EATO GmbH,1,"ReliBeauty Disfraz Hawaiana niña Falda Hawaiana niña con Complementos Hawaianos,130",B0CHVSZ177,1,24.79,0,0,24.79,Ropa/Calzado,24.79,0,24.79,yes,pdfs/20260125_Tax Invoice_405-2236617-2133903.pdf
171-9073149-5277131,2026-01-25,Amazon EU,1,"Calore Alfombras Salon, Antideslizante Alfombra de área,Alfombra de Salón Modernas Pelo Corto para S",B0BV28DLMS,2,104.99,0,0,159.58,Alimentación,483.42,0.64,383.26,yes,pdfs/20260125_Tax Invoice_171-9073149-5277131.pdf
171-9073149-5277131,2026-01-25,Amazon EU,2,WateLves Zapatillas De Estar por Casa Pantuflas Infantiles Antideslizante Kids Slipper Suave Tejido ,B0B93V6735,1,15.33,0,0,15.33,Ropa/Calzado,483.42,0.64,383.26,yes,pdfs/20260125_Tax Invoice_171-9073149-5277131.pdf
171-9073149-5277131,2026-01-25,Amazon EU,3,"Calore Alfombras Salon, Antideslizante Alfombra de área,Alfombra de Salón Modernas Pelo Corto para S",B0BV28DLMS,2,104.99,0,0,159.58,Alimentación,483.42,0.64,383.26,yes,pdfs/20260125_Tax Invoice_171-9073149-5277131.pdf
171-9073149-5277131,2026-01-25,Amazon EU,4,"ReliBeauty Disfraz Hawaiana niña Falda Hawaiana niña con Complementos Hawaianos,120",B0CHVXLGJX,1,24.79,0,0,24.79,Ropa/Calzado,483.42,0.64,383.26,yes,pdfs/20260125_Tax Invoice_171-9073149-5277131.pdf
171-9073149-5277131,2026-01-25,Amazon EU,5,WateLves Zapatillas De Estar por Casa Pantuflas Infantiles Antideslizante Kids Slipper Suave Tejido ,B0C35ZSS3N,1,16.99,0,0,16.99,Ropa/Calzado,483.42,0.64,383.26,yes,pdfs/20260125_Tax Invoice_171-9073149-5277131.pdf
171-9073149-5277131,2026-01-25,Amazon EU,6,GALLINA BLANCA Caldo Casero de Pollo 100% Natural | Elaborado con Pollo Fresco y Verduras de la Huer,B01IU8MJ7K,1,6.35,10,0.64,6.99,Alimentación,483.42,0.64,383.26,yes,pdfs/20260125_Tax Invoice_171-9073149-5277131.pdf
171-0423206-1136334,2026-01-25,Amazon EU,1,GALLINA BLANCA Caldo Casero de Pollo 100% Natural | Elaborado con Pollo Fresco y Verduras de la Huer,B01IU8MJ7K,1,6.35,10,0.64,6.99,Alimentación,6.35,0.64,6.99,yes,pdfs/20260125_Tax Invoice_171-0423206-1136334.pdf
408-5949299-9230755,2026-01-24,quanzhoutangqiwangluokejiyouxiangongsi,1,"Calore Alfombras Salon, Antideslizante Alfombra de área,Alfombra de Salón Modernas Pelo Corto para S",B0BV28DLMS,0,251.98,0,0,201.58,Alimentación,443.08,7.35,375,no,
408-5949299-9230755,2026-01-24,quanzhoutangqiwangluokejiyouxiangongsi,2,PLANTIFIQUE Mentonera Papada Reutilizable - Máscara Correa Transpirable - Mascarilla Facial V-Line L,B0DRCQXGND,0,13.18,0,0,11.86,Mascotas,443.08,7.35,375,no,
408-5949299-9230755,2026-01-24,quanzhoutangqiwangluokejiyouxiangongsi,3,PLANTIFIQUE Mentonera Papada Reutilizable - Máscara Correa Transpirable - Mascarilla Facial V-Line L,B0FGDSFT8P,0,14.01,0,0,12.61,Mascotas,443.08,7.35,375,no,
408-5949299-9230755,2026-01-24,quanzhoutangqiwangluokejiyouxiangongsi,4,GALLINA BLANCA Caldo Casero de Pollo 100% Natural | Elaborado con Pollo Fresco y Verduras de la Huer,B01IU8MJ7K,0,95.25,0,7.35,80.29,Alimentación,443.08,7.35,375,no,
408-5949299-9230755,2026-01-24,quanzhoutangqiwangluokejiyouxiangongsi,5,Máscara para facial V Línea frontal Cinturón Chin Cheek Slim Lift Up Máscara antiarrugas Tamaño XL,B07JGSZTRC,0,11.55,0,0,11.55,Belleza,443.08,7.35,375,no,
408-5949299-9230755,2026-01-24,quanzhoutangqiwangluokejiyouxiangongsi,6,"ReliBeauty Disfraz Hawaiana niña Falda Hawaiana niña con Complementos Hawaianos,120",B0CHVXLGJX,0,24.79,0,0,24.79,Ropa/Calzado,443.08,7.35,375,no,
408-5949299-9230755,2026-01-24,quanzhoutangqiwangluokejiyouxiangongsi,7,WateLves Zapatillas De Estar por Casa Pantuflas Infantiles Antideslizante Kids Slipper Suave Tejido ,B0B93V6735,0,15.33,0,0,15.33,Ropa/Calzado,443.08,7.35,375,no,
408-5949299-9230755,2026-01-24,quanzhoutangqiwangluokejiyouxiangongsi,8,WateLves Zapatillas De Estar por Casa Pantuflas Infantiles Antideslizante Kids Slipper Suave Tejido ,B0C35ZSS3N,0,16.99,0,0,16.99,Ropa/Calzado,443.08,7.35,375,no,
171-3029640-2160368,2026-01-23,Cosmety LLC,1,GALLINA BLANCA Caldo Casero de Pollo 100% Natural | Elaborado con Pollo Fresco y Verduras de la Huer,B01IU8MJ7K,0,95.25,0,7.35,80.29,Alimentación,374.42,7.35,306.34,no,
